tns_name,repeater_name,ra,dec,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,is_repeater,is_pcc_candidate,catalog
FRB20180911C,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,10.5,190.9,23.3,189.84,102.0,81.5,0.00688,0.0039,0.97,6.2,0,0.00319,75.0,-93.0,701.3,511.7,599.0,532091.517,527130,0.436,1,0,2021
FRB20180911A,-9999,99.55,84.62,128.95,26.69,112.0,114.0,17.5,221.6,26.8,221.254,164.7,166.7,0.00197,0.00094,1.6,2.6,0,0.000831,-5.78,0.2,599.9,400.2,400.2,163691.915,162026,0.479,0,0,2021
FRB20180915A,-9999,280.55,17.91,48.01,10.04,12.7,-9999.0,13.4,370.4,16.3,371.029,199.1,224.9,0.00492,0.00088,2.3,6.2,0,0.0008,6.5,-9.1,800.2,400.2,571.9,272951.369,272377,0.562,0,0,2021
FRB20180915B,-9999,225.23,25.02,36.17,60.93,13.1,-9999.0,12.5,176.3,36.1,177.127,154.7,154.1,0.00492,0.0001108,0.99,3.8,0,0.001694,-9.2,3.0,527.4,400.2,400.2,278172.462,276025,0.557,0,0,2021
FRB20180916A,-9999,348.97,80.33,118.82,18.23,73.0,76.0,21.4,296.0,32.5,296.0275,217.6,206.0,0.00098,0.000188,2.4,4.5,0,0.0001,2.41,-8.1,793.2,400.2,464.7,141368.791,138009,0.557,0,0,2021
FRB20180916B,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,18.7,347.8,36.7,349.3491,150.4,24.5,0.00393,0.00105,1.84,6.1,0,0.000765,58.1,-70.6,723.3,504.1,603.9,273337.62,271161,0.564,1,0,2021
FRB20180916C,-9999,107.15,45.08,172.21,21.71,16.3,-9999.0,11.1,2248.3,15.6,2252.873,2179.0,2166.8,0.00983,0.0051,0.39,2.1,0,0.00406,47.0,-50.0,794.6,516.9,640.9,300158.038,299738,0.519,0,0,2021
FRB20180917B,-9999,238.8,77.53,111.96,35.37,45.0,37.0,16.5,860.5,24.3,857.038,813.9,820.1,0.01966,0.0066,1.03,8.3,0,0.00247,2.26,-8.6,765.0,400.2,456.2,451759.045,445961,0.522,0,0,2021
FRB20180917A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,19.0,194.1,46.6,189.917,102.1,81.5,0.06095,0.008,3.2,46.0,0,0.00178,34.0,-19.0,800.2,658.6,800.2,908712.749,904687,0.516,1,0,2021
FRB20180917A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,19.0,194.1,46.6,189.917,102.1,81.5,0.06095,0.008,3.2,46.0,1,0.00345,52.3,-46.5,800.2,561.8,701.7,908712.749,904687,0.516,1,0,2021
