tns_name,repeater_name,ra,dec,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,is_repeater,is_pcc_candidate,catalog
FRB20181117C,-9999,53.21,25.73,162.76,-24.4,14.9,-9999.0,28.3,1776.0,36.0,1773.7387,1707.6,1705.2,0.00393,0.00237,1.57,3.0,0,0.0001,48.6,-46.3,800.2,541.2,676.5,227516.73,225785,0.508,0,0,2021
FRB20181117A,-9999,147.73,52.51,163.13,48.07,19.0,-9999.0,12.2,960.8,13.5,959.28,921.2,932.6,0.0059,0.0028,0.61,3.1,0,0.00234,1.0,-0.6,800.2,400.2,800.2,338484.086,338042,0.457,0,0,2021
FRB20181117B,-9999,81.09,79.99,133.04,23.06,69.0,58.0,17.1,540.2,18.9,538.2,473.2,470.1,0.00786,0.0013,3.6,11.0,0,0.001,5.4,-9.3,800.2,400.2,536.4,294874.296,294261,0.527,0,0,2021
FRB20181117B,-9999,81.09,79.99,133.04,23.06,69.0,58.0,17.1,540.2,18.9,538.2,473.2,470.1,0.00786,0.0013,3.6,11.0,1,0.00128,11.4,-31.2,630.4,400.2,480.4,294874.296,294261,0.527,0,0,2021
FRB20181118A,-9999,20.65,-6.41,144.0,-68.0,10.9,-9999.0,10.8,558.0,13.9,557.4068,525.9,536.0,0.00393,0.0015,4.3,10.0,0,0.00127,1.5,-1.7,800.2,400.2,630.1,329428.304,328314,0.473,0,0,2021
FRB20181118B,-9999,58.28,10.79,178.42,-31.89,11.8,-9999.0,18.1,422.2,19.5,422.2771,369.2,364.5,0.00393,0.0018,0.78,3.2,0,0.00161,5.3,-9.1,800.2,400.2,534.8,368797.13,366618,0.411,0,0,2021
FRB20181118C,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,10.3,187.6,17.8,190.167,102.4,81.8,0.00885,0.0045,0.33,1.72,0,0.00378,84.0,-174.0,570.7,453.4,508.7,572139.541,572730,0.387,1,0,2021
FRB20181119B,-9999,299.38,31.12,67.76,1.09,15.2,-9999.0,49.9,608.2,150.9,609.1008,166.8,108.3,0.02261,0.01659,4.5,94.0,0,0.00333,2.72,-4.65,800.2,400.2,536.4,1696803.688,1663481,0.406,0,0,2021
FRB20181119E,-9999,16.36,60.53,124.65,-2.29,24.0,-9999.0,11.2,1169.5,11.3,1169.768,949.5,893.6,0.00295,0.0018,0.7,2.2,0,0.00148,0.4,-3.2,800.2,400.2,425.3,342226.402,342906,0.449,0,0,2021
FRB20181119D,FRB20121102A,82.994575,33.147941,174.88,-0.22,17.04,-9999.0,23.7,595.2,41.8,564.367,375.9,277.3,0.03637,0.0069,0.46,12.6,0,0.005,61.0,-59.0,800.2,548.9,668.9,1288631.088,1285296,0.41,1,0,2021
FRB20181119D,FRB20121102A,82.994575,33.147941,174.88,-0.22,17.04,-9999.0,23.7,595.2,41.8,564.367,375.9,277.3,0.03637,0.0069,0.46,12.6,1,0.0096,72.0,-79.0,746.0,530.7,629.2,1288631.088,1285296,0.41,1,0,2021
FRB20181119D,FRB20121102A,82.994575,33.147941,174.88,-0.22,17.04,-9999.0,23.7,595.2,41.8,564.367,375.9,277.3,0.03637,0.0069,0.46,12.6,2,0.0081,75.0,-98.0,684.6,503.6,587.2,1288631.088,1285296,0.41,1,0,2021
FRB20181119A,FRB20181119A,190.53,65.13,124.52,51.97,28.0,-9999.0,11.1,368.8,21.8,364.09,330.3,338.4,0.02064,0.0084,0.31,3.5,0,0.00684,58.0,-133.0,568.1,436.5,498.0,751466.109,751482,0.396,1,0,2021
FRB20181119C,-9999,190.1,82.16,123.39,34.96,86.0,87.0,27.0,283.1,40.7,284.9594,240.3,247.0,0.00098,0.00048,2.8,3.5,0,0.000449,-1.81,-5.7,657.7,400.2,400.2,187590.083,186042,0.402,0,0,2021
FRB20181120B,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,13.4,351.0,22.1,349.736,150.8,24.9,0.00393,0.0013,1.04,2.74,0,0.001156,25.8,-26.3,800.2,486.0,653.5,321299.003,321018,0.484,1,0,2021
FRB20181120C,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,10.6,190.9,15.1,191.7,103.9,83.3,0.00786,0.0065,0.38,3.7,0,0.00246,39.0,-35.0,800.2,537.0,692.9,766814.871,766073,0.508,1,0,2021
FRB20181122A,-9999,60.04,55.48,147.51,1.89,21.0,-9999.0,12.2,661.6,14.9,662.821,466.7,364.1,0.00295,0.000182,0.53,1.42,0,0.00068,-4.9,0.6,661.4,400.2,400.2,386618.096,385465,0.381,0,0,2021
FRB20181122B,-9999,281.08,85.02,117.34,27.17,113.0,100.0,64.9,224.8,122.9,225.75547,171.4,174.7,0.00098,0.0001391,14.7,22.0,0,0.000246,4.86,-13.27,729.1,400.2,480.7,201768.605,183913,0.409,0,0,2021
FRB20181123A,-9999,300.76,55.87,89.71,12.94,23.0,-9999.0,17.0,797.4,19.7,798.718,694.9,680.8,0.00197,0.00192,0.99,2.5,0,0.00058,25.6,-64.3,590.2,404.2,488.5,400000.022,399449,0.358,0,0,2021
FRB20181124B,-9999,318.56,29.88,76.68,-12.89,13.7,-9999.0,29.0,800.7,33.8,801.6446,696.7,717.8,0.00393,0.000204,2.61,4.8,0,0.001119,-1.43,2.32,800.2,400.2,800.2,303747.982,301049,0.344,0,0,2021
FRB20181124A,-9999,175.98,63.52,135.07,51.99,25.0,-9999.0,10.4,1108.0,10.3,1108.532,1074.1,1083.0,0.00492,0.0019,0.66,2.6,0,0.00147,4.5,-4.3,800.2,400.2,674.9,390476.65,389114,0.375,0,0,2021
FRB20181125A,-9999,147.94,33.93,191.59,51.02,9.0,-9999.0,18.3,278.2,34.5,272.19,234.2,247.6,0.01475,0.0015,0.39,3.2,0,0.00128,9.0,-54.0,533.7,400.2,434.5,614002.141,611936,0.345,0,0,2021
FRB20181125A,-9999,147.94,33.93,191.59,51.02,9.0,-9999.0,18.3,278.2,34.5,272.19,234.2,247.6,0.01475,0.0015,0.39,3.2,1,0.00144,7.3,-41.8,552.0,400.2,436.6,614002.141,611936,0.345,0,0,2021
FRB20181125A,-9999,147.94,33.93,191.59,51.02,9.0,-9999.0,18.3,278.2,34.5,272.19,234.2,247.6,0.01475,0.0015,0.39,3.2,2,0.00158,7.3,-58.0,520.9,400.2,426.5,614002.141,611936,0.345,0,0,2021
FRB20181126A,-9999,262.05,81.17,113.4,29.94,75.0,61.0,51.6,493.3,111.0,494.2168,444.6,449.6,0.00197,0.000165,3.5,9.4,0,0.000407,17.93,-90.7,518.1,400.2,441.8,420100.63,407961,0.345,0,0,2021
FRB20181127A,-9999,243.8,25.43,42.85,44.61,11.8,-9999.0,15.7,930.1,27.6,930.317,898.1,901.2,0.00393,0.000582,0.78,2.9,0,0.00074,18.5,-51.3,592.3,400.2,479.3,407208.462,406745,0.347,0,0,2021
FRB20181128A,FRB20181128A,73.92,63.22,146.73,12.3,13.0,-9999.0,23.4,446.4,35.7,450.3823,338.0,298.4,0.02163,0.00399,0.64,8.1,0,0.00102,67.3,-77.0,735.5,520.7,618.9,800131.22,796468,0.36,1,0,2021
FRB20181128A,FRB20181128A,73.92,63.22,146.73,12.3,13.0,-9999.0,23.4,446.4,35.7,450.3823,338.0,298.4,0.02163,0.00399,0.64,8.1,1,0.00182,15.1,-40.9,610.4,400.2,481.5,800131.22,796468,0.36,1,0,2021
FRB20181128B,-9999,157.22,38.28,183.27,58.24,12.2,-9999.0,13.3,454.5,17.2,456.548,423.0,435.9,0.0059,0.00044,0.34,1.95,0,0.00168,-3.5,-2.2,661.3,400.2,400.2,400872.001,399449,0.358,0,0,2021
FRB20181128D,-9999,215.62,59.93,103.82,53.69,30.9,-9999.0,47.0,147.2,55.3,146.5012,113.8,121.3,0.00197,0.0001059,2.6,7.0,0,0.001071,-2.48,0.28,800.2,400.2,400.2,356532.355,354457,0.431,0,0,2021
FRB20181128C,-9999,268.77,49.71,77.0,29.2,19.0,-9999.0,11.0,614.6,22.2,618.35,569.2,576.6,0.01475,0.00232,0.39,3.4,0,0.0023,27.4,-75.0,572.1,403.2,480.3,599265.922,597348,0.36,0,0,2021
FRB20181128C,-9999,268.77,49.71,77.0,29.2,19.0,-9999.0,11.0,614.6,22.2,618.35,569.2,576.6,0.01475,0.00232,0.39,3.4,1,0.0001,23.3,-60.0,590.8,400.2,485.8,599265.922,597348,0.36,0,0,2021
FRB20181129A,-9999,355.12,44.95,109.96,-16.13,18.7,-9999.0,25.4,386.6,34.7,385.9684,299.2,305.5,0.00295,0.00064,1.52,3.1,0,0.000588,2.7,-5.21,800.2,400.2,518.2,400085.882,397626,0.361,0,0,2021
FRB20181129B,-9999,307.56,81.32,114.35,23.24,82.0,75.0,11.8,406.0,25.7,405.905,343.8,343.8,0.00197,0.00083,4.0,9.5,0,0.000364,73.8,-112.0,642.7,482.3,556.8,356399.738,354457,0.431,0,0,2021
FRB20181129C,-9999,233.38,40.03,64.61,54.23,16.6,-9999.0,18.3,503.0,23.1,502.2158,475.7,477.5,0.00492,0.00164,0.77,3.6,0,0.00118,2.1,-3.2,800.2,400.2,560.6,388487.846,386073,0.38,0,0,2021
FRB20181130A,-9999,355.19,46.49,110.46,-14.66,15.9,-9999.0,20.9,218.4,43.7,220.0896,125.0,129.9,0.00098,0.00051,0.97,1.27,0,0.00048,2.7,-45.7,515.9,400.2,412.1,200690.165,198810,0.361,0,0,2021
FRB20181201A,-9999,214.96,39.27,71.98,67.97,16.2,-9999.0,17.8,698.7,43.6,694.356,670.4,672.9,0.12583,0.0725,0.4,18.9,0,0.0048,0.52,-5.61,795.0,400.2,419.0,6575027.993,6558713,0.344,0,0,2021
FRB20181201B,-9999,273.38,56.31,84.88,27.43,22.0,-9999.0,14.2,875.1,17.4,876.577,825.3,831.1,0.00393,0.0026,0.66,2.24,0,0.00224,0.4,-2.9,800.2,400.2,429.4,400718.546,398234,0.36,0,0,2021
FRB20181202A,-9999,351.01,17.36,94.98,-40.72,14.1,-9999.0,27.0,669.6,40.6,667.9546,629.2,636.8,0.00688,0.00404,2.63,13.7,0,0.00059,4.27,-9.1,800.2,400.2,505.7,576251.883,569993,0.39,0,0,2021
FRB20181202B,-9999,202.83,64.72,116.05,51.87,27.0,-9999.0,16.1,826.5,20.1,825.8834,792.2,800.0,0.00492,0.00224,0.99,4.1,0,0.00061,5.0,-6.4,800.2,400.2,590.1,326665.354,327705,0.474,0,0,2021
FRB20181202C,-9999,307.13,57.03,92.62,10.57,22.0,-9999.0,10.4,558.0,19.0,557.1604,430.7,395.4,0.00786,0.0079,0.51,3.4,0,0.00049,1.8,-4.6,800.2,400.2,487.4,980591.201,980393,0.37,0,0,2021
FRB20181203A,-9999,33.6,23.57,146.43,-35.49,14.9,-9999.0,19.2,635.7,29.4,635.9255,589.2,597.3,0.00295,0.00144,1.74,3.6,0,0.000171,13.2,-8.5,800.2,515.2,800.2,370958.179,370265,0.405,0,0,2021
FRB20181203B,-9999,47.31,24.02,159.14,-29.0,16.1,-9999.0,25.6,373.6,35.4,375.3871,318.7,321.5,0.00393,0.00232,1.45,4.5,0,0.000578,47.8,-43.6,800.2,550.8,693.2,374536.612,372089,0.402,0,0,2021
FRB20181203C,-9999,198.48,72.94,120.64,44.09,43.0,36.0,10.3,2442.4,22.5,2444.57,2407.1,2414.7,0.0118,0.00097,1.05,4.8,0,0.00365,-0.27,-1.7,800.2,400.2,400.2,370674.712,368441,0.408,0,0,2021
FRB20181208A,-9999,264.43,62.62,91.86,32.3,27.0,-9999.0,22.3,561.3,29.7,562.777,517.6,523.5,0.00492,0.00113,0.95,4.0,0,0.00093,0.0,-3.6,800.2,400.2,400.3,390729.872,389113,0.375,0,0,2021
FRB20181209A,-9999,98.16,68.69,146.19,23.47,32.0,-9999.0,24.2,328.4,47.4,328.6557,263.0,259.3,0.00197,0.00064,2.5,3.2,0,0.000597,0.42,-25.5,544.7,400.2,403.5,370174.648,367226,0.41,0,0,2021
FRB20181213A,-9999,127.66,73.87,140.39,32.8,45.0,43.3,16.1,677.7,21.6,678.672,630.1,635.9,0.00295,0.0016,0.88,3.2,0,0.001359,-3.17,2.3,800.2,400.2,400.2,441492.962,440794,0.292,0,0,2021
FRB20181213B,-9999,183.52,53.7,134.96,62.55,19.0,-9999.0,12.3,626.0,16.3,626.593,596.0,604.7,0.00492,0.0012,0.75,1.7,0,0.00085,45.6,-45.1,800.2,529.6,664.0,447673.98,445658,0.284,0,0,2021
FRB20181213C,-9999,216.4,47.46,87.04,62.58,16.2,-9999.0,11.7,380.1,15.0,380.736,350.2,358.2,0.00295,0.0015,0.62,1.86,0,0.00125,-2.1,1.2,800.2,400.2,400.2,440201.706,439578,0.294,0,0,2021
FRB20181214A,-9999,70.0,43.07,160.82,-2.37,17.5,-9999.0,25.4,467.5,45.2,468.148,283.9,206.0,0.00295,0.000442,0.156,0.41,0,0.000533,23.3,-139.0,494.6,400.2,435.0,445007.866,443225,0.288,0,0,2021
FRB20181214B,-9999,138.79,42.15,179.33,43.88,13.7,-9999.0,10.2,1120.9,13.3,1120.746,1078.7,1090.2,0.00295,0.0014,0.41,1.23,0,0.00109,0.0,-1.5,800.2,400.2,400.2,430342.302,429850,0.31,0,0,2021
FRB20181214C,-9999,175.93,60.02,137.68,55.13,28.0,-9999.0,29.1,632.4,39.9,632.7849,599.5,608.6,0.0059,0.00163,1.2,5.0,0,0.000631,-2.54,-0.08,800.2,400.2,400.2,454048.39,451737,0.274,0,0,2021
FRB20181214D,-9999,178.57,46.71,149.07,67.41,17.1,-9999.0,18.2,1171.1,28.5,1177.319,1151.3,1157.5,0.01671,0.018,0.55,9.0,0,0.00099,12.2,-10.9,800.2,442.1,700.7,2009951.618,2005481,0.284,0,0,2021
FRB20181214F,-9999,252.62,32.44,54.19,38.53,11.4,-9999.0,11.0,2106.0,20.2,2105.76,2065.5,2073.2,0.00885,0.00152,0.31,2.21,0,0.0023,8.0,-65.0,514.1,400.2,425.7,659319.538,659369,0.294,0,0,2021
FRB20181215A,-9999,93.38,39.34,173.73,10.12,12.6,-9999.0,9.2,412.5,11.8,412.632,284.1,235.7,0.00492,0.0017,0.34,0.72,0,0.00134,-2.4,-1.1,800.2,400.2,400.2,450816.937,451130,0.275,0,0,2021
FRB20181215B,-9999,254.81,47.56,73.62,38.24,14.1,-9999.0,24.8,493.3,29.8,494.0142,453.4,461.5,0.00197,0.00061,1.9,2.9,0,0.000559,4.7,-6.0,800.2,400.2,590.2,446582.692,439578,0.294,0,0,2021
FRB20181216A,-9999,306.28,53.53,89.41,9.0,19.0,-9999.0,11.0,541.9,15.7,542.7376,396.0,347.5,0.00197,0.00089,0.94,1.7,0,0.00022,14.8,-16.1,800.2,434.2,634.0,446771.745,446873,0.282,0,0,2021
FRB20181217A,-9999,290.5,59.8,90.99,19.55,23.0,-9999.0,12.5,1175.9,15.8,1177.1666,1107.4,1108.4,0.00295,0.0012,0.64,1.76,0,0.001015,5.0,-4.9,800.2,400.2,663.5,435233.794,434106,0.303,0,0,2021
FRB20181218A,-9999,5.06,71.35,120.42,8.63,34.0,37.6,18.6,1873.1,30.8,1874.406,1727.2,1646.0,0.0059,0.000221,0.83,1.59,0,0.00139,19.0,-83.6,529.3,400.2,448.4,300374.013,302393,0.341,0,0,2021
FRB20181218B,-9999,18.04,69.39,124.77,6.59,33.0,-9999.0,10.9,752.1,14.9,753.405,583.8,477.1,0.00295,0.002,0.56,1.8,0,0.00169,-2.7,-2.3,708.8,400.2,400.2,447417.424,445658,0.284,0,0,2021
FRB20181218C,-9999,285.98,58.24,88.61,21.24,21.0,-9999.0,9.2,385.0,13.5,384.153,319.8,322.7,0.00492,0.0068,0.25,1.73,0,0.0052,4.4,-13.1,718.5,400.2,472.7,676386.238,674874,0.277,0,0,2021
FRB20181219B,-9999,180.79,71.55,128.31,45.07,38.0,29.0,23.1,1950.7,43.0,1952.166,1914.9,1923.0,0.00492,0.00526,4.6,27.0,0,0.000574,-4.2,10.3,800.2,555.5,800.2,783212.817,772153,0.38,0,0,2021
FRB20181219C,-9999,17.77,14.11,130.13,-48.49,12.8,-9999.0,18.6,648.6,27.7,647.891,611.7,620.7,0.00295,0.00053,0.208,0.57,0,0.00126,-1.0,-4.6,735.5,400.2,400.2,434767.94,432281,0.306,0,0,2021
FRB20181219A,FRB20181128A,73.92,63.22,146.73,12.3,13.0,-9999.0,10.2,449.7,16.3,451.806,339.4,299.8,0.01769,0.0068,0.39,4.7,0,0.00536,10.1,-18.2,753.1,400.2,527.9,657677.013,655722,0.298,1,0,2021
FRB20181220A,-9999,346.11,48.43,105.24,-10.73,19.1,-9999.0,27.6,208.7,40.1,209.4017,83.6,87.3,0.00295,0.000457,1.33,3.0,0,0.000435,-5.26,-1.3,596.4,400.2,400.2,434169.841,430457,0.309,0,0,2021
FRB20181220B,-9999,277.37,84.87,117.17,27.5,134.0,134.0,13.4,257.2,24.7,257.7994,204.2,207.6,0.00197,0.00062,2.9,3.8,0,0.000558,0.45,-4.8,800.2,400.2,419.5,408195.586,409178,0.343,0,0,2021
FRB20181221A,-9999,230.58,25.86,39.52,56.34,13.4,-9999.0,18.6,313.8,78.8,316.237,291.8,292.0,0.00492,0.001323,1.25,5.8,0,0.000754,62.1,-128.0,583.3,446.1,510.1,443691.859,440185,0.293,0,0,2021
FRB20181221B,-9999,306.31,80.98,113.93,23.25,74.0,71.0,26.7,1392.7,52.1,1395.021,1333.1,1333.1,0.00295,0.0011,0.97,3.3,0,0.001037,25.3,-61.2,597.6,405.4,492.2,433142.381,431066,0.308,0,0,2021
FRB20181222A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,24.0,349.4,214.4,348.73651,149.8,23.9,0.03539,0.00039,4.9,50.0,0,0.005158,60.0,-51.9,800.2,577.7,713.2,1162519.685,1097419,0.295,1,0,2021
FRB20181222A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,24.0,349.4,214.4,348.73651,149.8,23.9,0.03539,0.00039,4.9,50.0,1,0.0003816,55.3,-49.6,800.2,563.5,699.0,1162519.685,1097419,0.295,1,0,2021
FRB20181222A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,24.0,349.4,214.4,348.73651,149.8,23.9,0.03539,0.00039,4.9,50.0,2,0.001718,62.5,-60.4,800.2,552.4,671.6,1162519.685,1097419,0.295,1,0,2021
FRB20181222A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,24.0,349.4,214.4,348.73651,149.8,23.9,0.03539,0.00039,4.9,50.0,3,0.00581,66.1,-68.3,780.2,540.4,649.3,1162519.685,1097419,0.295,1,0,2021
FRB20181222B,-9999,90.04,38.55,173.2,7.45,12.6,-9999.0,9.5,619.5,12.7,619.2478,471.0,408.5,0.00197,0.00074,0.46,0.83,0,0.000596,0.4,-5.4,798.6,400.2,415.1,445367.7,445050,0.285,0,0,2021
FRB20181222C,-9999,131.05,68.33,146.46,35.38,31.0,-9999.0,11.0,1104.8,17.5,1104.892,1058.5,1065.6,0.00393,0.0019,0.84,2.9,0,0.00152,-2.0,-3.1,727.4,400.2,400.2,434435.727,434714,0.302,0,0,2021
FRB20181222D,-9999,188.2,56.16,128.25,60.78,19.0,-9999.0,10.5,1413.7,20.2,1417.11,1385.9,1394.5,0.02261,0.00195,0.22,1.23,0,0.00375,8.4,-41.1,561.3,400.2,443.0,865595.39,863353,0.307,0,0,2021
FRB20181222E,-9999,50.64,86.97,124.97,24.72,220.0,210.0,17.7,328.4,36.7,327.9797,268.1,268.2,0.00393,0.00079,1.12,5.5,0,0.000254,5.13,-19.9,639.5,400.2,455.2,1011125.194,1010788,0.351,0,0,2021
FRB20181222E,-9999,50.64,86.97,124.97,24.72,220.0,210.0,17.7,328.4,36.7,327.9797,268.1,268.2,0.00393,0.00079,1.12,5.5,1,0.00091,9.9,-23.8,672.3,400.2,492.8,1011125.194,1010788,0.351,0,0,2021
FRB20181223A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,31.8,352.6,67.2,349.7096,150.8,24.9,0.00885,0.0022,2.02,15.7,0,0.001995,32.7,-33.4,800.2,502.1,652.9,769995.486,757557,0.392,1,0,2021
FRB20181223A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,31.8,352.6,67.2,349.7096,150.8,24.9,0.00885,0.0022,2.02,15.7,1,0.00515,21.0,-25.2,800.2,449.1,607.8,769995.486,757557,0.392,1,0,2021
FRB20181223B,-9999,174.89,21.59,227.74,72.74,12.4,-9999.0,12.4,564.5,21.3,565.655,540.2,545.7,0.00885,0.0035,0.68,4.1,0,0.00157,33.3,-41.0,761.2,473.8,600.6,656809.462,655721,0.298,0,0,2021
FRB20181223C,-9999,181.05,27.58,207.75,79.51,11.6,-9999.0,19.5,111.6,28.3,112.5118,92.6,93.4,0.00197,0.000107,1.36,2.84,0,0.000508,2.68,-7.4,800.2,400.2,479.2,447393.219,446265,0.283,0,0,2021
FRB20181224A,-9999,355.11,44.56,109.84,-16.5,23.8,-9999.0,65.0,308.9,104.1,310.20644,225.2,231.9,0.00197,0.0004,4.3,3.3,0,0.0003868,3.85,-6.08,800.2,400.2,549.5,233053.656,219178,0.296,0,0,2021
FRB20181224B,-9999,45.36,46.14,145.22,-11.03,17.0,-9999.0,14.0,779.6,22.4,781.0087,659.7,640.3,0.00885,0.00206,0.77,3.1,0,0.00092,-1.8,-0.9,800.2,400.2,400.2,434116.583,432889,0.305,0,0,2021
FRB20181224C,-9999,115.29,60.28,156.69,29.4,24.0,-9999.0,13.3,608.2,26.9,596.325,541.0,543.2,0.02949,0.0275,0.5,9.6,0,0.00237,-2.46,0.3,800.2,400.2,400.2,2797088.64,2786153,0.312,0,0,2021
FRB20181224D,-9999,182.45,54.85,135.42,61.26,20.0,-9999.0,11.2,690.7,12.8,690.196,658.8,667.9,0.00393,0.002,0.54,1.95,0,0.0016,-3.3,1.6,800.2,400.2,400.2,428983.851,427418,0.313,0,0,2021
FRB20181224E,-9999,239.32,7.32,17.52,41.77,15.4,-9999.0,32.4,580.7,42.1,581.8537,545.3,549.3,0.00197,0.0011,3.6,10.3,0,0.001056,-1.18,-4.4,729.5,400.2,400.2,410322.544,404917,0.35,0,0,2021
FRB20181224E,-9999,239.32,7.32,17.52,41.77,15.4,-9999.0,32.4,580.7,42.1,581.8537,545.3,549.3,0.00197,0.0011,3.6,10.3,1,0.00102,-3.7,3.6,800.2,400.2,400.2,410322.544,404917,0.35,0,0,2021
FRB20181225A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,16.2,346.1,31.8,349.619,150.7,24.8,0.00688,0.0037,0.59,4.3,0,0.00323,28.3,-128.0,510.8,400.2,446.8,655067.42,648426,0.306,1,0,2021
FRB20181225B,-9999,36.77,88.2,123.74,25.48,420.0,360.0,19.1,299.2,27.6,299.2875,241.0,242.3,0.00295,0.0014,1.9,7.5,0,0.001297,6.8,-10.1,800.2,400.2,560.7,434409.23,431066,0.308,0,0,2021
FRB20181226C,-9999,349.05,44.94,105.75,-14.73,17.2,-9999.0,18.8,409.2,25.3,409.0184,315.0,322.4,0.00393,0.00198,0.88,2.7,0,0.00063,-1.09,-1.9,800.2,400.2,400.2,369985.472,367833,0.409,0,0,2021
FRB20181226A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,16.7,347.8,69.0,349.0107,150.1,24.2,0.00983,0.00077,1.6,5.7,0,0.000731,81.5,-126.2,632.7,482.9,552.8,439985.477,434101,0.303,1,0,2021
FRB20181226A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,16.7,347.8,69.0,349.0107,150.1,24.2,0.00983,0.00077,1.6,5.7,1,0.00149,77.6,-148.0,589.6,459.3,520.4,439985.477,434101,0.303,1,0,2021
FRB20181226D,-9999,120.22,22.16,199.59,24.7,11.7,-9999.0,24.2,386.6,34.7,385.3778,320.4,306.2,0.00197,0.00062,1.89,3.0,0,0.000571,0.44,-5.2,800.2,400.2,417.2,445755.474,444442,0.286,0,0,2021
FRB20181226B,-9999,182.66,12.43,267.9,72.47,14.7,-9999.0,52.4,287.9,176.6,287.0364,259.3,266.3,0.00197,0.001098,8.9,52.0,0,0.00059,4.1,-14.4,687.5,400.2,461.1,677496.762,642943,0.312,0,0,2021
FRB20181226B,-9999,182.66,12.43,267.9,72.47,14.7,-9999.0,52.4,287.9,176.6,287.0364,259.3,266.3,0.00197,0.001098,8.9,52.0,1,0.000871,1.03,-7.0,764.2,400.2,430.7,677496.762,642943,0.312,0,0,2021
FRB20181226B,-9999,182.66,12.43,267.9,72.47,14.7,-9999.0,52.4,287.9,176.6,287.0364,259.3,266.3,0.00197,0.001098,8.9,52.0,2,0.001004,11.5,-18.1,784.9,400.2,549.7,677496.762,642943,0.312,0,0,2021
FRB20181226E,-9999,303.56,73.64,106.6,20.42,43.0,43.4,16.5,308.9,20.9,308.762,239.9,237.5,0.00295,0.0013,0.48,1.35,0,0.001169,-5.8,-3.4,558.3,400.2,400.2,329480.425,325882,0.477,0,0,2021
FRB20181227A,-9999,31.79,78.38,126.83,16.09,60.0,60.0,9.2,791.0,11.1,791.2134,702.2,680.5,0.00197,0.00092,0.93,1.82,0,0.000748,0.1,-0.1,800.2,400.2,656.8,428676.486,429850,0.31,0,0,2021
FRB20181228A,-9999,7.26,10.22,113.91,-52.26,11.9,-9999.0,12.6,748.9,18.1,748.6791,714.5,723.1,0.00295,0.0013,1.16,4.0,0,0.001088,5.2,-13.6,731.4,400.2,484.5,443544.246,443226,0.288,0,0,2021
FRB20181228B,-9999,250.43,63.85,94.64,38.29,27.0,-9999.0,15.5,566.1,34.6,568.6506,528.7,535.2,0.00492,0.001159,0.4,1.67,0,0.0001,59.3,-353.0,471.8,401.5,435.2,427829.591,427417,0.313,0,0,2021
FRB20181228C,-9999,265.19,54.36,82.11,31.87,20.0,-9999.0,11.1,509.5,10.3,510.7,465.1,471.8,0.00295,0.0011,0.45,0.74,0,0.00088,-6.5,6.6,800.2,400.2,400.2,443579.48,443834,0.287,0,0,2021
FRB20181229A,-9999,137.18,42.01,179.53,42.69,17.5,-9999.0,23.6,955.9,31.7,955.5735,912.6,923.4,0.00492,0.0024,1.18,4.0,0,0.000376,3.54,-6.0,800.2,400.2,538.1,429095.358,426201,0.315,0,0,2021
FRB20181229B,-9999,238.37,19.78,32.97,47.83,11.9,-9999.0,11.1,375.3,22.2,389.047,359.7,361.3,0.02064,0.0051,0.42,4.9,0,0.00336,22.0,-103.0,517.5,400.2,445.5,1101381.167,1100473,0.293,0,0,2021
FRB20181230A,-9999,346.69,83.37,119.8,21.14,104.0,99.0,14.1,763.5,29.7,769.611,701.2,696.6,0.03441,0.041,0.94,18.0,0,0.00164,33.0,-27.8,800.2,543.5,724.8,3863851.978,3852569,0.314,0,0,2021
FRB20181230B,-9999,20.83,79.7,124.42,16.92,68.0,61.0,12.8,1135.5,17.6,1137.36,1052.4,1034.9,0.01081,0.0045,0.88,9.7,0,0.0043,0.9,-3.7,800.2,400.2,450.2,1090752.42,1091353,0.299,0,0,2021
FRB20181230C,-9999,245.75,50.52,78.21,43.9,19.0,-9999.0,14.3,1036.8,16.5,1037.194,1000.3,1008.1,0.00295,0.0009,0.89,2.1,0,0.00076,9.0,-8.0,800.2,409.4,699.9,420852.88,423162,0.32,0,0,2021
