model,params,ll_score,recall_mean,recall_std,llscore_mean,llscore_std,fittime_mean,fittime_std
DecisionTreeClassifier,"{'min_samples_split': 20, 'min_samples_leaf': 2, 'criterion': 'gini'}",1.7776479181884588,0.6958885461305244,0.08582466974374521,1.6026455955566496,0.2803523404980103,0.007978888273239136,0.00638577455713426
RandomForestClassifier,"{'n_estimators': 245, 'min_samples_split': 21, 'min_samples_leaf': 10, 'criterion': 'entropy'}",2.0572476939541677,0.8234385167385841,0.06064791090422266,2.0815273871798796,0.22061758881096027,0.30203385162353513,0.02580897272408607
SVC,"{'C': 0.053370327626039576, 'degree': 2}",2.2439737034331633,0.8446023309647153,0.05689780182328485,2.069515575680491,0.21766112028928444,0.0041478006839752194,0.0005179070279787505
AdaBoostClassifier,"{'n_estimators': 379, 'learning_rate': 0.2799743084246729, 'algorithm': 'SAMME.R'}",2.4371881945199942,0.8128249753385427,0.06572684777171373,2.0896397092745054,0.23978893571206647,0.4369323418140411,0.019912935197849313
LGBMClassifier,"{'n_estimators': 314, 'learning_rate': 0.7634745502856656, 'subsample': 0.5517416382671432, 'colsample_bytree': 0.8748572996659076}",2.4067619743295414,0.798539899280028,0.06571216589843239,2.1533479897475085,0.24830647880300005,0.15332300782203676,0.028638930816823855
XGBClassifier,"{'n_estimators': 472, 'eta': 4.463589298990465, 'gamma': 0.015812457773552488, 'min_child_weight': 0.0013235039876917161, 'max_delta_step': 0.02148492608287815, 'max_leaves': 165, 'max_bin': 81, 'subsample': 0.8088819609029114, 'colsample_bytree': 0.4255638819241213}",2.527100073046019,0.8089100267924049,0.06351042207832883,2.2113361179038975,0.25062142452390435,1.9406606991291047,2.4177923953556113
LogisticRegression,"{'tol': 5.6115164153345e-05, 'C': 63.512210106407046, 'solver': 'liblinear', 'max_iter': 162}",2.071360341630612,0.8332345425367876,0.06079048607425906,2.0572415213512296,0.2246743752858377,0.001140273094177246,0.00023741024593006575
LinearDiscriminantAnalysis,"{'solver': 'svd', 'store_covariance': False, 'tol': 0.000462258900102083}",2.2439737034331633,0.8431646736160635,0.05759088044239806,2.094139725856753,0.2190282589877037,0.0010911283493041993,0.00021683240499187646
