tns_name,repeater_name,ra,dec,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,is_repeater,is_pcc_candidate,catalog,redshift,fre_width,fre_width_ob,in_duration,energy,luminosity,T_B,log_dm_fitb,log_bonsai_dm,log_dm_exc_ne2001,log_dm_exc_ymw16,log_bc_width,log_scat_time,log_flux,log_fluence,log_width_fitb,log_high_freq,log_low_freq,log_peak_freq,log_fre_width,log_redshift,log_in_duration,log_energy,log_luminosity,log_T_B
FRB20180814B,-9999,238.26,74.02,108.6,37.62,43.0,34.0,18.7,237.8,24.4,238.3474,197.2,203.8,0.0059,0.00088,3.4,10.6,0,0.000764,0.3,1.2,800.2,400.2,800.2,366744.692,363573,0.416,0,0,2021,0.12546225908680203,450.18490363472085,400.00000000000006,0.6788321810274724,3.345195741885261e+39,1.2076067257499154e+42,5.518510936979544e+33,2.377210418810526,2.376211850282673,2.2949069106051923,2.3092041796704077,-2.2291479883578558,-3.0555173278498313,0.5314789170422551,1.0253058652647702,-3.11690664142431,2.903198547042978,2.6022770843001926,2.903198547042978,2.653390927408028,-0.9014868967755757,-0.1682375775043755,39.5244215352977,42.08192552315525,33.741821907603516
FRB20180814B,-9999,238.26,74.02,108.6,37.62,43.0,34.0,18.7,237.8,24.4,238.3474,197.2,203.8,0.0059,0.00088,3.4,10.6,1,0.00083,0.1,0.2,800.2,400.2,800.2,366744.692,363573,0.416,0,0,2021,0.12546225908680203,450.18490363472085,400.00000000000006,0.7374747516397933,3.345195741885261e+39,1.2076067257499154e+42,5.518510936979544e+33,2.377210418810526,2.376211850282673,2.2949069106051923,2.3092041796704077,-2.2291479883578558,-3.0555173278498313,0.5314789170422551,1.0253058652647702,-3.0809219076239263,2.903198547042978,2.6022770843001926,2.903198547042978,2.653390927408028,-0.9014868967755757,-0.1322528437039916,39.5244215352977,42.08192552315525,33.741821907603516
FRB20180814A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,11.0,190.9,22.1,189.286,101.5,80.9,0.00786,0.0031,0.39,2.6,0,0.00254,42.5,-143.0,527.0,408.9,464.2,377384.635,376346,0.396,1,0,2021,0.002248222001635545,118.36551501839318,118.10000000000002,2.534302325752447,1.4457828377434476e+35,2.173549917793274e+37,3.219295249136087e+29,2.2771184937969156,2.280805928393667,2.0064660422492318,1.9079485216122722,-2.104577453960592,-2.5086383061657274,-0.4089353929735008,0.414973347970818,-2.595166283380062,2.7218106152125467,2.6116171105543358,2.666705136119899,2.0732251920940055,-2.6481608063926076,0.40385842213944756,35.160103065121454,37.337169618657626,29.507760808680178
FRB20180817A,-9999,233.2,42.2,68.3,53.98,22.7,-9999.0,45.6,1002.8,65.1,1006.7714,979.1,982.0,0.01769,0.01103,2.4,29.0,0,0.00189,3.35,-7.46,800.2,400.2,501.1,1069085.403,1057913,0.434,0,0,2021,1.0140001966958603,805.6000786783442,400.00000000000006,0.9384308914669952,4.134042096510323e+41,6.890450975603385e+43,7.970512540043537e+34,3.002930869770044,3.001214325286179,2.990827050567479,2.9921114877869495,-1.7522721670902768,-1.9574244875598095,0.38021124171160603,1.462397997898956,-2.7235381958267557,2.903198547042978,2.6022770843001926,2.699924402742477,2.9061194999606177,0.00603803924181268,-0.027597704459410982,41.616374894688235,43.83824764713354,34.90148624939557
FRB20180904A,-9999,286.58,81.22,113.16,26.22,88.0,74.0,40.8,360.7,74.6,361.13741,305.7,308.4,0.00197,0.00055,3.8,6.0,0,0.0005275,12.12,-23.18,712.3,400.2,519.7,155378.697,143482,0.539,0,0,2021,0.25663590133767455,392.19606480748814,312.09999999999997,0.4197715499282507,5.367795694967305e+39,4.2720643615164277e+42,5.724857831377427e+35,2.557672479052783,2.5571461423183632,2.4852954387260886,2.4891143693789193,-2.705533773838407,-3.2596373105057563,0.5797835966168101,0.7781512503836436,-3.27777753603027,2.8526629443445692,2.6022770843001926,2.7157527168228595,2.593503231756632,-0.5906825893398411,-0.3769869991215696,39.72979597768313,42.63063778700759,35.757764706066084
FRB20180906A,-9999,141.48,14.29,217.17,40.61,11.1,-9999.0,10.5,383.3,10.9,383.456,340.0,346.5,0.00098,0.0017,1.6,2.7,0,0.00135,-0.2,1.4,800.2,400.2,800.2,320313.543,304602,0.511,0,0,2021,0.29684492371984383,518.7379694879376,400.00000000000006,1.0409879973371738,5.0264422098774625e+39,3.8628243343708096e+42,5.552596367834415e+35,2.5837155376370236,2.5835388192543522,2.531478917042255,2.5397032389478253,-3.0087739243075053,-2.769551078621726,0.2041199826559248,0.43136376415898736,-2.869666231504994,2.903198547042978,2.6022770843001926,2.903198547042978,2.7149480377286523,-0.5274703734494284,0.0174457220943164,39.701260693739535,42.58690495863716,35.7444961046641
FRB20180906B,-9999,185.75,56.42,130.87,60.27,20.0,-9999.0,10.7,3037.7,17.9,3038.058,3006.7,3015.4,0.0059,0.0048,0.36,1.5,0,0.0029,2.6,-11.1,709.1,400.2,449.3,350696.512,350201,0.438,0,0,2021,3.649716315420813,1436.2973698334893,308.90000000000003,0.6236939639483234,1.8756695954149588e+41,2.0931195648335252e+44,1.3079203172049147e+36,3.4825960607840107,3.4825448811864357,3.4780900975902895,3.479344930496141,-2.2291479883578558,-2.318758762624413,-0.44369749923271273,0.17609125905568124,-2.537602002101044,2.8507074853745373,2.6022770843001926,2.6525364185930256,3.157244365190193,0.5622591089947334,-0.20502845898978633,41.27315633856028,44.320794037160624,36.11658128615007
FRB20180907D,-9999,328.95,89.22,122.33,26.57,1050.0,900.0,12.3,1444.4,13.8,1447.098,1391.1,1393.4,0.0059,0.0027,0.89,4.9,0,0.00222,2.8,-0.1,800.2,400.2,800.2,339735.417,347770,0.441,0,0,2021,1.4875887176933809,995.0354870773525,400.00000000000006,0.8924304826637489,2.3200745248736934e+41,1.0482730977413125e+44,2.167320718070826e+35,3.160497943294605,3.159687479754789,3.143358350615467,3.1440758061985505,-2.2291479883578558,-2.5686362358410126,-0.05060999335508721,0.6901960800285137,-2.653647025549361,2.903198547042978,2.6022770843001926,2.903198547042978,2.997838569757831,0.17248287588343356,-0.04942560397922968,41.36550193541744,44.02047444046371,35.335923182562176
FRB20180907A,-9999,320.87,29.46,77.77,-14.65,11.7,-9999.0,15.3,875.1,25.4,877.24,785.2,801.8,0.0059,0.000264,0.87,2.8,0,0.00087,-2.3,-5.1,648.6,400.2,400.2,343339.826,342297,0.45,0,0,2021,0.7974013661559739,446.4744993531439,248.40000000000003,0.4840321234764788,1.9797617909577454e+40,1.1056539630449424e+43,2.5290992234031993e+35,2.9431184262239243,2.942057683841395,2.8949802909279687,2.9040660519145027,-2.2291479883578558,-3.5783960731301687,-0.060480747381381476,0.4471580313422192,-3.0604807473813813,2.811976944336954,2.6022770843001926,2.6022770843001926,2.6497966589547333,-0.09832302461356338,-0.31512581483157204,40.29661293819276,43.04361922691935,35.40296586822585
FRB20180907B,-9999,4.49,19.17,112.1,-43.0,12.5,-9999.0,15.4,658.3,19.3,658.1899,620.1,628.3,0.00295,0.00113,1.08,2.9,0,0.00021,-0.7,-4.6,751.4,400.2,400.2,316182.424,315545,0.493,0,0,2021,0.6139273923205373,566.8113001829727,351.2,0.13011737764612682,1.2079762773744626e+40,7.260527184807863e+42,7.398366868837643e+35,2.8183512137105247,2.8184238550920786,2.792461731346951,2.798167059715939,-2.530177984021837,-2.9469215565165805,0.03342375548694973,0.4623979978989561,-3.677780705266081,2.875871190727366,2.6022770843001926,2.6022770843001926,2.753438499934966,-0.2118829887597001,-0.8856646979669819,40.08205840555454,42.86096815584344,35.869135863227186
FRB20180907C,-9999,41.72,77.07,129.37,15.66,53.0,58.0,11.3,638.9,17.1,638.1999,546.8,522.9,0.00197,0.0008,1.11,1.48,0,0.00027,2.5,-2.5,800.2,400.2,670.0,340394.587,347161,0.442,0,0,2021,0.5321386212125544,612.8554484850218,400.00000000000006,0.17622426343271635,7.702439101647212e+39,8.850903318878568e+42,4.540039811756246e+35,2.804956731807583,2.80543288813214,2.7378285058957847,2.7184186418296554,-2.705533773838407,-3.0969100130080562,0.045322978786657475,0.17026171539495738,-3.5686362358410126,2.903198547042978,2.6022770843001926,2.8260748027008264,2.7873580514706173,-0.27397521998748803,-0.7539342959836673,39.886628273308595,42.94698759684295,35.65705966121619
FRB20180907E,-9999,167.88,47.09,160.75,62.04,16.5,-9999.0,12.2,381.7,20.3,383.36,352.9,363.3,0.0118,0.00338,0.73,6.9,0,0.00415,-7.1,-2.7,536.3,400.2,400.2,597440.649,598265,0.52,0,0,2021,0.3118487102993607,178.54260947174294,136.09999999999997,3.1634745435340488,7.114686284441508e+39,9.874458230859817e+41,7.736797711825662e+33,2.5836067963731986,2.581722159949099,2.5476516583599693,2.5602653978627146,-1.9281179926938745,-2.4710832997223453,-0.1366771398795441,0.8388490907372553,-2.381951903287907,2.729407796963068,2.6022770843001926,2.6022770843001926,2.2517418778720137,-0.5060560477040126,0.5001643440434137,39.85215575502611,41.994513277077985,33.88856124183803
FRB20180908B,FRB20180908B,188.22,74.19,124.66,42.88,42.0,24.0,11.3,197.3,30.2,195.2393,157.0,164.6,0.00786,0.0021,1.17,5.0,0,0.001882,54.3,-71.9,698.5,488.3,584.1,315464.399,312506,0.498,1,0,2021,0.07474761292138617,225.91194823607538,210.2,1.7511087974267139,4.004160971184162e+38,1.007010212254759e+41,6.98148259698625e+32,2.2905672418922776,2.295127085252191,2.1958996524092336,2.216429830876251,-2.104577453960592,-2.677780705266081,0.06818586174616162,0.6989700043360189,-2.725380380908762,2.844166410450201,2.6886867242841235,2.766487206239694,2.3539392008883664,-1.1264026720553482,0.2433131298950953,38.602511528220816,41.0030338748271,32.84394765977462
FRB20180911C,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,10.5,190.9,23.3,189.84,102.0,81.5,0.00688,0.0039,0.97,6.2,0,0.00319,75.0,-93.0,701.3,511.7,599.0,532091.517,527130,0.436,1,0,2021,0.002690508823404546,190.1101204729175,189.59999999999997,3.181440306783464,6.37285823728728e+35,9.99726505572074e+37,8.990502039289363e+29,2.278387725209283,2.280805928393667,2.0086001717619175,1.9111576087399766,-2.162411561764489,-2.408935392973501,-0.01322826573375516,0.7923916894982539,-2.496209316942819,2.8459038388987823,2.7090154169721172,2.7774268223893115,2.2790052370577087,-2.57016557936563,0.5026237790015197,35.80433425781006,37.99988120663372,29.953783943880655
FRB20180911A,-9999,99.55,84.62,128.95,26.69,112.0,114.0,17.5,221.6,26.8,221.254,164.7,166.7,0.00197,0.00094,1.6,2.6,0,0.000831,-5.78,0.2,599.9,400.2,400.2,163691.915,162026,0.479,0,0,2021,0.08457422091560642,216.58947191684658,199.7,0.7661992918275922,1.834128793897667e+38,1.2241531124310421e+41,4.162360996029803e+34,2.344891130950539,2.345569756056392,2.2166935991697545,2.2219355998280053,-2.705533773838407,-3.0268721464003012,0.2041199826559248,0.414973347970818,-3.080398976215889,2.778078861937455,2.6022770843001926,2.6022770843001926,2.3356373424114496,-1.0727619941738746,-0.11565825375663606,38.2634298288886,41.08783574111445,34.6193397432915
FRB20180915A,-9999,280.55,17.91,48.01,10.04,12.7,-9999.0,13.4,370.4,16.3,371.029,199.1,224.9,0.00492,0.00088,2.3,6.2,0,0.0008,6.5,-9.1,800.2,400.2,571.9,272951.369,272377,0.562,0,0,2021,0.12782543229660498,451.1301729186421,400.00000000000006,0.7093296330186047,1.452879526758559e+39,6.078656943201814e+41,1.0919487116767818e+34,2.569407855835427,2.5686709780098966,2.2990712600274095,2.351989455435632,-2.30803489723264,-3.0555173278498313,0.36172783601759284,0.7923916894982539,-3.0969100130080562,2.903198547042978,2.6022770843001926,2.7573200965466724,2.6543018749670177,-0.893382729845606,-0.14915189664711176,39.162229603951744,41.78380763411013,34.038202240237894
FRB20180915B,-9999,225.23,25.02,36.17,60.93,13.1,-9999.0,12.5,176.3,36.1,177.127,154.7,154.1,0.00492,0.0001108,0.99,3.8,0,0.001694,-9.2,3.0,527.4,400.2,400.2,278172.462,276025,0.557,0,0,2021,0.07180119583342125,136.33311211001117,127.19999999999999,1.5805169900774028,1.921417656855088e+38,5.365220960235806e+40,2.95964009247562e+33,2.2482847670469637,2.246252312299322,2.1894903136993675,2.1878026387184195,-2.30803489723264,-3.955460239607589,-0.004364805402450088,0.5797835966168101,-2.771086594005312,2.7221401254574156,2.6022770843001926,2.6022770843001926,2.1346013485726716,-1.1438683226165949,0.1987991687344113,38.2836217773303,40.72958761257132,33.4712389018173
FRB20180916A,-9999,348.97,80.33,118.82,18.23,73.0,76.0,21.4,296.0,32.5,296.0275,217.6,206.0,0.00098,0.000188,2.4,4.5,0,0.0001,2.41,-8.1,793.2,400.2,464.7,141368.791,138009,0.557,0,0,2021,0.15069264732854537,452.22221040011834,393.00000000000006,0.08690417917604722,1.2009492105375586e+39,7.37025827402981e+41,6.096494482046115e+35,2.4713320574896733,2.4712917110589387,2.3376588910261424,2.3138672203691533,-3.0087739243075053,-3.72584215073632,0.38021124171160603,0.6532125137753437,-4.0,2.8993827055332653,2.6022770843001926,2.6671726724788685,2.6553518884324627,-0.8219079374832543,-1.0609593380570357,39.07952464100017,41.867482706993464,35.78508018505639
FRB20180916B,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,18.7,347.8,36.7,349.3491,150.4,24.5,0.00393,0.00105,1.84,6.1,0,0.000765,58.1,-70.6,723.3,504.1,603.9,273337.62,271161,0.564,1,0,2021,0.0337,226.58703999999994,219.19999999999993,0.717448597872672,1.0073842531276409e+38,3.1410703418406523e+40,8.194641170269623e+32,2.543259628753845,2.5413295776666938,2.1772478362556233,1.3891660843645324,-2.4056074496245734,-2.978810700930062,0.2648178230095365,0.785329835010767,-3.1163385648463824,2.859318465097116,2.7025166974381505,2.780965029608317,2.3552350660858665,-1.4723700991286615,-0.1442092088238446,38.00319515792409,40.497077662196396,32.913529941288616
FRB20180916C,-9999,107.15,45.08,172.21,21.71,16.3,-9999.0,11.1,2248.3,15.6,2252.873,2179.0,2166.8,0.00983,0.0051,0.39,2.1,0,0.00406,47.0,-50.0,794.6,516.9,640.9,300158.038,299738,0.519,0,0,2021,2.4739264791649704,964.7093832641125,277.70000000000005,1.1687063685285317,1.9732042569693972e+41,1.2730280674590196e+44,1.3214979402344733e+35,3.3527367101642236,3.3518542604787527,3.3382572302462554,3.335818826915165,-2.0074464821678646,-2.2924298239020637,-0.4089353929735008,0.3222192947339193,-2.3914739664228057,2.900148560719344,2.713406532167691,2.8067902715840667,2.9843965027183237,0.39338678900070034,0.06770541060912807,41.2951720437333,44.10483797899395,35.121066490550966
FRB20180917B,-9999,238.8,77.53,111.96,35.37,45.0,37.0,16.5,860.5,24.3,857.038,813.9,820.1,0.01966,0.0066,1.03,8.3,0,0.00247,2.26,-8.6,765.0,400.2,456.2,451759.045,445961,0.522,0,0,2021,0.8293236091503717,667.3372526180556,364.8,1.3502258362844777,7.236446193705097e+40,1.64276336440311e+43,2.2448048124526164e+34,2.9330000784277974,2.934750874663579,2.9105710484812586,2.913866811896239,-1.7064164865038831,-2.1804560644581312,0.012837224705172217,0.919078092376074,-2.607303046740334,2.8836614351536176,2.6022770843001926,2.6591552809406296,2.8243453690511044,-0.08127597096425797,0.13040641386493995,40.85952533727701,43.21557500900084,34.351178584733546
FRB20180917A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,19.0,194.1,46.6,189.917,102.1,81.5,0.06095,0.008,3.2,46.0,0,0.00178,34.0,-19.0,800.2,658.6,800.2,908712.749,904687,0.516,1,0,2021,0.0028248897309842676,142.00000438590737,141.60000000000002,1.7749858606695523,6.96364880911146e+36,4.857961981998261e+38,2.3346024190471626e+28,2.2785638413865477,2.2880255353883627,2.0090257420869104,1.9111576087399766,-1.2150262900455993,-2.0969100130080562,0.505149978319906,1.662757831681574,-2.749579997691106,2.903198547042978,2.818621726375889,2.903198547042978,2.152288357796967,-2.5489985001134694,0.24919489786567686,36.84283686064879,38.686454111730335,28.368212931190936
FRB20180917A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,19.0,194.1,46.6,189.917,102.1,81.5,0.06095,0.008,3.2,46.0,1,0.00345,52.3,-46.5,800.2,561.8,701.7,908712.749,904687,0.516,1,0,2021,0.0028248897309842676,239.0734537118667,238.4000000000001,3.4402815838819976,6.106463845730457e+36,4.259974909732792e+38,3.036037085586739e+28,2.2785638413865477,2.2880255353883627,2.0090257420869104,1.9111576087399766,-1.2150262900455993,-2.0969100130080562,0.505149978319906,1.662757831681574,-2.462180904926726,2.903198547042978,2.749581734865559,2.8461514765288154,2.378531355511416,-2.5489985001134694,0.536593990630057,36.78578979013462,38.629407041216176,28.482307072219264
FRB20180917A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,19.0,194.1,46.6,189.917,102.1,81.5,0.06095,0.008,3.2,46.0,2,0.0076,62.0,-67.0,770.5,531.1,639.7,908712.749,904687,0.516,1,0,2021,0.0028248897309842676,240.07627860159758,239.39999999999998,7.578591315218314,5.566915949998251e+36,3.883576955616455e+38,3.6530643610528016e+28,2.2785638413865477,2.2880255353883627,2.0090257420869104,1.9111576087399766,-1.2150262900455993,-2.0969100130080562,0.505149978319906,1.662757831681574,-2.1191864077192086,2.8867726430544383,2.725176301419137,2.805976350717563,2.380349250513609,-2.5489985001134694,0.8795884878375743,36.74561466432337,38.58923191540492,28.56265732384177
FRB20180918A,-9999,301.27,64.96,98.09,17.11,26.0,-9999.0,14.0,1454.1,24.4,1453.9882,1374.0,1367.9,0.00295,0.00146,1.45,4.1,0,0.00055,13.4,-15.5,800.2,419.8,617.6,289525.913,289401,0.535,0,0,2021,1.467446560820246,938.6166717360217,380.40000000000003,0.22290249715364258,1.4607522543879354e+41,1.2747014105207077e+44,2.3116485216004216e+36,3.162560881973032,3.1625942744424216,3.137986732723532,3.1360543495510553,-2.530177984021837,-2.835647144215563,0.16136800223497488,0.6127838567197355,-3.2596373105057563,2.903198547042978,2.623042434246382,2.7907072873276797,2.9724882638959254,0.1665622947486388,-0.6518850661363049,41.16457656523217,44.10540846637795,36.3639218017496
FRB20180919B,-9999,5.34,5.94,109.42,-56.14,10.7,-9999.0,16.1,558.0,18.8,560.2214,527.4,536.0,0.00098,0.0005,2.56,3.0,0,0.000408,4.4,-11.1,768.9,400.2,487.6,140499.114,141050,0.547,0,0,2021,0.5104060629971153,556.8867154270364,368.7,0.27012603431318405,1.0429710890119018e+40,1.3442644107727193e+43,7.332882454235183e+36,2.7483596944989754,2.7466341989375787,2.7221401254574156,2.72916478969277,-3.0087739243075053,-3.3010299956639813,0.4082399653118496,0.47712125471966244,-3.38933983691012,2.8858698609039064,2.6022770843001926,2.6880636969463443,2.745766857886981,-0.29208417537123627,-0.5684335571909849,40.018272270021335,43.12848470089439,36.865274723331055
FRB20180919A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,13.4,190.9,14.6,188.85,101.0,80.5,0.02163,0.0045,0.58,3.1,0,0.00378,27.8,-179.0,484.6,400.2,432.6,442868.506,441402,0.527,1,0,2021,0.002248222001635545,84.58974993693808,84.40000000000003,3.7715207839937994,1.6064706296889835e+35,3.012412105600343e+37,7.279364903547852e+28,2.276116989163544,2.280805928393667,2.0043213737826426,1.9057958803678685,-1.6649434805609085,-2.3467874862246565,-0.23657200643706275,0.4913616938342727,-2.4225082001627745,2.6853834098014873,2.6022770843001926,2.636086515103073,1.9273177411061457,-2.6481608063926076,0.5765165053567349,35.20587278996808,37.47891438417724,28.8620934904509
